letra,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41
A,0.0,0.0,0.27258036553212023,-0.06322526183494359,0.4976065498036918,-0.40166429064329007,0.5662921921180964,-0.7410724509752818,0.6492379125661395,-0.9312730100083141,0.4076696521624058,-0.6824304599944642,0.4345783889266153,-0.9157822426130405,0.3726130395237162,-0.653390089842596,0.3515114234098528,-0.5456273691364149,0.24987406575234067,-0.7139958364236145,0.2881211853788395,-1.0,0.24491545332650355,-0.6754067435263683,0.2229830494212517,-0.5445073548605853,0.09419083787285579,-0.6993096388689721,0.11221386552388181,-0.931518608993669,0.10484776127198306,-0.6067501171258453,0.10044345642954827,-0.49142885448177215,-0.07000109949587958,-0.6653830924477069,-0.04684981995107295,-0.8074549551253347,-0.026299298944432142,-0.5925617497507999,-0.018166138283420608,-0.5182937564903677
A,0.0,0.0,0.27612661524037896,-0.0733742029051077,0.5017201791625509,-0.3983490888129811,0.5683468811188108,-0.7342281825775646,0.6506157455931995,-0.9252552044190748,0.4104169441993778,-0.6804400391101191,0.43821797188729783,-0.9211356764215749,0.373133513970473,-0.6579151700846129,0.3436480198198153,-0.5375380272178948,0.2532794940819553,-0.7143314959620561,0.2866083450001801,-1.0,0.2406594009650179,-0.6671045399743455,0.21645854855209615,-0.5325338506124152,0.09943777109185767,-0.7008173285978921,0.1144538617053453,-0.9327911077262593,0.10294421362101222,-0.6042688301231701,0.09672507211661317,-0.49114513557420575,-0.06435250466464414,-0.6639538629620972,-0.041329124052304336,-0.809511810535435,-0.02589966679317969,-0.5885176443777528,-0.02229907260088157,-0.5124212121288289
A,0.0,0.0,0.27333599823380655,-0.06661944552229819,0.5004836752545593,-0.39578810528921415,0.5688856214124196,-0.7335118691210512,0.6537854200396056,-0.926147691237272,0.41110420959497973,-0.6817642616776162,0.4385843231933313,-0.9233645985254961,0.37451256154916573,-0.6586888647858491,0.34427632481234194,-0.5339837530272823,0.2539442478290539,-0.7153472343016176,0.28879092266882533,-1.0,0.24379982053735097,-0.6657234284892356,0.2181841616267712,-0.5289231948365603,0.09877167182921444,-0.7027096894777687,0.11552364458032835,-0.9314154342895754,0.10492094360892196,-0.6011994560926984,0.09771745420608266,-0.4876757412660396,-0.06533640465900424,-0.6676041903608654,-0.03807706524211569,-0.811666033892182,-0.02354266042923853,-0.5903731585426228,-0.022678797817680667,-0.5153830055728755
A,0.0,0.0,0.274169773289631,-0.04738457050387011,0.5107540770132449,-0.38239503983206796,0.5831614517327505,-0.7290192231874745,0.6645484553909378,-0.9213903014172965,0.4159682358151437,-0.6798903283701354,0.4480004692964886,-0.9212452845744147,0.3853096458396972,-0.6567766307260249,0.35826083372000966,-0.5420464286431518,0.25871226734679426,-0.7104451234915659,0.29939012595960035,-1.0,0.2554516080275067,-0.6624865103683871,0.2290458589341262,-0.5310513615411527,0.10444795829603096,-0.698509983648611,0.12475517838022951,-0.9359926096372783,0.11243804810711798,-0.5998281360156517,0.10015970878250327,-0.4872088168549314,-0.06205611052566492,-0.6710057214006597,-0.03347584867090795,-0.8150703363397199,-0.02116051525372134,-0.5890322028290969,-0.023649583499366345,-0.5165046501574363
A,0.0,0.0,0.2757517553692119,-0.047482655059644725,0.5111330388767841,-0.3828393969892697,0.5815360018378632,-0.7330244019155995,0.6656754666661581,-0.9275326198473548,0.4164339137480097,-0.6781679351780208,0.44915559381611575,-0.9227168120193544,0.3823931768479247,-0.6563743569756892,0.3547353695213523,-0.5391697783395355,0.25851511161437596,-0.7101850515510892,0.29964132844112445,-1.0,0.253849668635715,-0.6613903333733883,0.2296768501499304,-0.5315683530630242,0.10376456785311844,-0.6995725145347389,0.12395594977496135,-0.9389777267166017,0.11156859890266509,-0.6042225501496973,0.10213376092476395,-0.4927976402785363,-0.06167692729271427,-0.6724797145208363,-0.03606403953101426,-0.819542577200535,-0.022344280191068263,-0.5946495333391403,-0.02159870790075623,-0.5214225934683374
A,0.0,0.0,0.27591460864944173,-0.062395687664811635,0.505221253833475,-0.3884080585281785,0.5731528128734893,-0.7303317987082896,0.6547213274065542,-0.9257506835944737,0.4019697471732588,-0.6818463984654455,0.4402791966031468,-0.9183158857510647,0.37520036754781455,-0.6579855373322507,0.3374140809346216,-0.5269881933733416,0.24565151343529115,-0.7124766180519754,0.2920484968331818,-1.0,0.24449159943639845,-0.6652500055576787,0.21218719532011698,-0.5160111958113099,0.09222623668935964,-0.6984787839587397,0.11538937096605158,-0.9317271465607496,0.10250614255816243,-0.5978725206136948,0.08936344995283912,-0.4700498285588463,-0.0726272152642438,-0.6641953169411807,-0.04119351413608797,-0.8124680433477762,-0.027890548664622147,-0.5865325272405649,-0.030852632592979965,-0.5024863466361223
A,0.0,0.0,0.27932581939961326,-0.0609808534477008,0.5074122093845851,-0.3874679584276399,0.5726438158331362,-0.7276191236935345,0.6521610880092182,-0.9190410960650208,0.4055313749292037,-0.6813568928735464,0.43875879881865226,-0.913529605711802,0.3780840743666146,-0.6534409451461878,0.346387083013431,-0.5277152962100763,0.24669440168458048,-0.7109671721796087,0.2902537322881751,-1.0,0.2458907334051954,-0.6663234311260746,0.2162425331930083,-0.5162627576762748,0.091935784716324,-0.6974944159606863,0.11410273187731217,-0.9324170849296584,0.10224665966740923,-0.5988113654797812,0.08980159187077745,-0.47114686416412765,-0.07390030434448243,-0.664431740881881,-0.04310863479214457,-0.8122825921159356,-0.029503208512298058,-0.5888218091310143,-0.03183029874026112,-0.5074844396819658
A,0.0,0.0,0.2727520700282682,-0.0649467481076362,0.5005282486501191,-0.3854224460337594,0.5649376803663367,-0.7273051832685412,0.6468025140839947,-0.9287750008698705,0.4100766856772917,-0.6769818550279044,0.4406181036400655,-0.9149854968858635,0.373344320061745,-0.6586024923635911,0.34591166122074996,-0.5375101880291053,0.2511502851593761,-0.7150694262123095,0.2905398152922185,-1.0,0.23921534514881113,-0.6728172312390014,0.21752446444970935,-0.532208089901383,0.09526811518561983,-0.7063226407793196,0.11525963790189336,-0.9370211626320489,0.09824866066297841,-0.6106160054069043,0.09387400268025563,-0.48851433493916707,-0.06840029227649863,-0.6714797393973326,-0.04187725441446115,-0.8188997034005084,-0.03245755822597022,-0.5985857486738428,-0.029773612240185487,-0.5149574501511466
A,0.0,0.0,0.2754896297932094,-0.06537656387265328,0.5001902607107535,-0.389435519268861,0.5646255015749301,-0.7330474134734,0.6478060975458575,-0.9303509222759258,0.4123623026189581,-0.6769335310391806,0.4403280006404358,-0.9144778630454867,0.3733896390173344,-0.657313144756358,0.346494906034742,-0.5374063483412018,0.2536406402761438,-0.7146366692798186,0.28879327643231856,-1.0,0.23950283016746934,-0.6736379549841688,0.2195535061235373,-0.5365624144430887,0.09760311426631751,-0.7056661551724753,0.11539065220026899,-0.9400036854476715,0.0984080715086109,-0.6137400801259187,0.09387448760405769,-0.49595462234772264,-0.06683456395207742,-0.6717140210272229,-0.04054895940733631,-0.8171423324513333,-0.03270341034182002,-0.5969087834891944,-0.030835682613616952,-0.5175776313077309
A,0.0,0.0,0.27560266674469336,-0.06753568195084697,0.5044889907633094,-0.3893269587208618,0.5729763598063451,-0.7281368257014877,0.653309612376437,-0.9266845187812427,0.4151710205491578,-0.6795065836075319,0.44093309119797847,-0.9117936996672569,0.37100040395654277,-0.6551777271960848,0.34271249977107726,-0.5295347174230309,0.2552002300384106,-0.715846253171501,0.2919048077143701,-1.0,0.24001512679372808,-0.669228531414831,0.21920431296759443,-0.5227289232674127,0.09961296795228976,-0.7065899857931073,0.11666271270606468,-0.9385933429056369,0.10081325987877936,-0.6097942937086137,0.09857002751914479,-0.4834012593592563,-0.06400564065634202,-0.6716205898691741,-0.03861679301447781,-0.8183304911829485,-0.02667102549599401,-0.5930715664062245,-0.020396647855357036,-0.5062332241731469
